NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[1, 100] Train Error: 0.011 | Train Perf: 0.4781 | Eval Error: 0.0088 | Eval Perf: 0.5948
[2, 100] Train Error: 0.0062 | Train Perf: 0.7489 | Eval Error: 0.0074 | Eval Perf: 0.6802
[3, 100] Train Error: 0.0044 | Train Perf: 0.829 | Eval Error: 0.0079 | Eval Perf: 0.7103
[4, 100] Train Error: 0.0035 | Train Perf: 0.8655 | Eval Error: 0.0064 | Eval Perf: 0.7653
[5, 100] Train Error: 0.003 | Train Perf: 0.8857 | Eval Error: 0.0069 | Eval Perf: 0.7199
[6, 100] Train Error: 0.0028 | Train Perf: 0.8962 | Eval Error: 0.0057 | Eval Perf: 0.7643
[7, 100] Train Error: 0.0027 | Train Perf: 0.8979 | Eval Error: 0.0058 | Eval Perf: 0.7709
[8, 100] Train Error: 0.0026 | Train Perf: 0.9027 | Eval Error: 0.0053 | Eval Perf: 0.7848
[9, 100] Train Error: 0.0025 | Train Perf: 0.9077 | Eval Error: 0.0051 | Eval Perf: 0.7922
[10, 100] Train Error: 0.0022 | Train Perf: 0.9172 | Eval Error: 0.0053 | Eval Perf: 0.7861
[11, 100] Train Error: 0.002 | Train Perf: 0.9246 | Eval Error: 0.0053 | Eval Perf: 0.7915
[12, 100] Train Error: 0.002 | Train Perf: 0.9264 | Eval Error: 0.0054 | Eval Perf: 0.7952
[13, 100] Train Error: 0.0021 | Train Perf: 0.9223 | Eval Error: 0.005 | Eval Perf: 0.7993
[14, 100] Train Error: 0.0019 | Train Perf: 0.9294 | Eval Error: 0.0054 | Eval Perf: 0.8007
[15, 100] Train Error: 0.0019 | Train Perf: 0.9309 | Eval Error: 0.0049 | Eval Perf: 0.8027
[16, 100] Train Error: 0.0018 | Train Perf: 0.9356 | Eval Error: 0.0048 | Eval Perf: 0.8068
[17, 100] Train Error: 0.0017 | Train Perf: 0.9363 | Eval Error: 0.0047 | Eval Perf: 0.8167
[18, 100] Train Error: 0.0016 | Train Perf: 0.9421 | Eval Error: 0.0056 | Eval Perf: 0.8025
[19, 100] Train Error: 0.0016 | Train Perf: 0.941 | Eval Error: 0.005 | Eval Perf: 0.81
[20, 100] Train Error: 0.0015 | Train Perf: 0.9437 | Eval Error: 0.0046 | Eval Perf: 0.8162
[21, 100] Train Error: 0.0016 | Train Perf: 0.9427 | Eval Error: 0.0049 | Eval Perf: 0.8151
[22, 100] Train Error: 0.0015 | Train Perf: 0.9461 | Eval Error: 0.0046 | Eval Perf: 0.8168
[23, 100] Train Error: 0.0014 | Train Perf: 0.9476 | Eval Error: 0.0049 | Eval Perf: 0.8107
[24, 100] Train Error: 0.0014 | Train Perf: 0.9473 | Eval Error: 0.0044 | Eval Perf: 0.8254
[25, 100] Train Error: 0.0013 | Train Perf: 0.9523 | Eval Error: 0.0051 | Eval Perf: 0.8107
[26, 100] Train Error: 0.0013 | Train Perf: 0.9538 | Eval Error: 0.0043 | Eval Perf: 0.8292
[27, 100] Train Error: 0.0012 | Train Perf: 0.9565 | Eval Error: 0.0046 | Eval Perf: 0.82
[28, 100] Train Error: 0.0012 | Train Perf: 0.955 | Eval Error: 0.0047 | Eval Perf: 0.8135
[29, 100] Train Error: 0.0013 | Train Perf: 0.953 | Eval Error: 0.0045 | Eval Perf: 0.8227
[30, 100] Train Error: 0.0012 | Train Perf: 0.9564 | Eval Error: 0.0044 | Eval Perf: 0.8264
[31, 100] Train Error: 0.0012 | Train Perf: 0.9563 | Eval Error: 0.0049 | Eval Perf: 0.8129
[32, 100] Train Error: 0.0012 | Train Perf: 0.9572 | Eval Error: 0.0047 | Eval Perf: 0.8153
[33, 100] Train Error: 0.0012 | Train Perf: 0.9578 | Eval Error: 0.0047 | Eval Perf: 0.8164
[34, 100] Train Error: 0.0011 | Train Perf: 0.9585 | Eval Error: 0.0047 | Eval Perf: 0.8122
[35, 100] Train Error: 0.0011 | Train Perf: 0.9584 | Eval Error: 0.0049 | Eval Perf: 0.8105
[36, 100] Train Error: 0.0011 | Train Perf: 0.959 | Eval Error: 0.0049 | Eval Perf: 0.8149
[37, 100] Train Error: 0.0011 | Train Perf: 0.9615 | Eval Error: 0.0049 | Eval Perf: 0.8044
[38, 100] Train Error: 0.0011 | Train Perf: 0.9612 | Eval Error: 0.0046 | Eval Perf: 0.8172
[39, 100] Train Error: 0.001 | Train Perf: 0.9625 | Eval Error: 0.0052 | Eval Perf: 0.7982
[40, 100] Train Error: 0.0011 | Train Perf: 0.9616 | Eval Error: 0.0046 | Eval Perf: 0.8165
[41, 100] Train Error: 0.001 | Train Perf: 0.9626 | Eval Error: 0.0047 | Eval Perf: 0.8137
[42, 100] Train Error: 0.001 | Train Perf: 0.9625 | Eval Error: 0.0047 | Eval Perf: 0.8164
[43, 100] Train Error: 0.001 | Train Perf: 0.9633 | Eval Error: 0.0048 | Eval Perf: 0.8131
[44, 100] Train Error: 0.001 | Train Perf: 0.9631 | Eval Error: 0.0049 | Eval Perf: 0.8054
[45, 100] Train Error: 0.001 | Train Perf: 0.9644 | Eval Error: 0.0047 | Eval Perf: 0.8112
[46, 100] Train Error: 0.001 | Train Perf: 0.9654 | Eval Error: 0.0048 | Eval Perf: 0.8086
[47, 100] Train Error: 0.001 | Train Perf: 0.9647 | Eval Error: 0.005 | Eval Perf: 0.7992
[48, 100] Train Error: 0.001 | Train Perf: 0.9654 | Eval Error: 0.0048 | Eval Perf: 0.8046
[49, 100] Train Error: 0.0009 | Train Perf: 0.9664 | Eval Error: 0.0051 | Eval Perf: 0.7999
[50, 100] Train Error: 0.0009 | Train Perf: 0.9657 | Eval Error: 0.0051 | Eval Perf: 0.8013
