NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0303 | Train Perf: 0.2245 | Eval Error: 0.0259 | Eval Perf: 0.5153
[2, 100] Train Error: 0.0226 | Train Perf: 0.5849 | Eval Error: 0.0221 | Eval Perf: 0.573
[3, 100] Train Error: 0.0192 | Train Perf: 0.649 | Eval Error: 0.0193 | Eval Perf: 0.6405
[4, 100] Train Error: 0.0168 | Train Perf: 0.6991 | Eval Error: 0.0173 | Eval Perf: 0.6841
[5, 100] Train Error: 0.0151 | Train Perf: 0.7315 | Eval Error: 0.0155 | Eval Perf: 0.7287
[6, 100] Train Error: 0.0138 | Train Perf: 0.7605 | Eval Error: 0.0142 | Eval Perf: 0.7484
[7, 100] Train Error: 0.0128 | Train Perf: 0.7766 | Eval Error: 0.0134 | Eval Perf: 0.7626
[8, 100] Train Error: 0.0121 | Train Perf: 0.79 | Eval Error: 0.0127 | Eval Perf: 0.7819
[9, 100] Train Error: 0.0114 | Train Perf: 0.802 | Eval Error: 0.0121 | Eval Perf: 0.7869
[10, 100] Train Error: 0.0111 | Train Perf: 0.8073 | Eval Error: 0.0119 | Eval Perf: 0.7916
[11, 100] Train Error: 0.0108 | Train Perf: 0.812 | Eval Error: 0.0118 | Eval Perf: 0.7967
[12, 100] Train Error: 0.0104 | Train Perf: 0.8204 | Eval Error: 0.0116 | Eval Perf: 0.7956
[13, 100] Train Error: 0.0104 | Train Perf: 0.8198 | Eval Error: 0.0116 | Eval Perf: 0.7962
[14, 100] Train Error: 0.0101 | Train Perf: 0.826 | Eval Error: 0.0111 | Eval Perf: 0.8068
[15, 100] Train Error: 0.0099 | Train Perf: 0.8287 | Eval Error: 0.0114 | Eval Perf: 0.7997
[16, 100] Train Error: 0.0098 | Train Perf: 0.8318 | Eval Error: 0.0114 | Eval Perf: 0.8016
[17, 100] Train Error: 0.0096 | Train Perf: 0.836 | Eval Error: 0.011 | Eval Perf: 0.809
[18, 100] Train Error: 0.0096 | Train Perf: 0.8359 | Eval Error: 0.0112 | Eval Perf: 0.8079
[19, 100] Train Error: 0.0094 | Train Perf: 0.8386 | Eval Error: 0.0111 | Eval Perf: 0.8066
[20, 100] Train Error: 0.0093 | Train Perf: 0.841 | Eval Error: 0.0114 | Eval Perf: 0.801
[21, 100] Train Error: 0.0093 | Train Perf: 0.8402 | Eval Error: 0.0114 | Eval Perf: 0.805
[22, 100] Train Error: 0.0092 | Train Perf: 0.8433 | Eval Error: 0.0113 | Eval Perf: 0.803
[23, 100] Train Error: 0.0091 | Train Perf: 0.8449 | Eval Error: 0.0113 | Eval Perf: 0.8041
[24, 100] Train Error: 0.009 | Train Perf: 0.8455 | Eval Error: 0.0111 | Eval Perf: 0.8092
[25, 100] Train Error: 0.009 | Train Perf: 0.8466 | Eval Error: 0.0113 | Eval Perf: 0.8041
[26, 100] Train Error: 0.0089 | Train Perf: 0.8476 | Eval Error: 0.0111 | Eval Perf: 0.808
[27, 100] Train Error: 0.0089 | Train Perf: 0.8486 | Eval Error: 0.0117 | Eval Perf: 0.7972
[28, 100] Train Error: 0.0088 | Train Perf: 0.8496 | Eval Error: 0.0111 | Eval Perf: 0.8073
[29, 100] Train Error: 0.0087 | Train Perf: 0.8523 | Eval Error: 0.011 | Eval Perf: 0.8101
[30, 100] Train Error: 0.0087 | Train Perf: 0.8518 | Eval Error: 0.0116 | Eval Perf: 0.8052
[31, 100] Train Error: 0.0087 | Train Perf: 0.8516 | Eval Error: 0.0109 | Eval Perf: 0.8114
[32, 100] Train Error: 0.0087 | Train Perf: 0.8525 | Eval Error: 0.0109 | Eval Perf: 0.8107
[33, 100] Train Error: 0.0086 | Train Perf: 0.854 | Eval Error: 0.0111 | Eval Perf: 0.8064
[34, 100] Train Error: 0.0085 | Train Perf: 0.8547 | Eval Error: 0.0111 | Eval Perf: 0.8079
[35, 100] Train Error: 0.0085 | Train Perf: 0.8551 | Eval Error: 0.0112 | Eval Perf: 0.8076
[36, 100] Train Error: 0.0085 | Train Perf: 0.8555 | Eval Error: 0.0111 | Eval Perf: 0.8078
[37, 100] Train Error: 0.0085 | Train Perf: 0.8561 | Eval Error: 0.0112 | Eval Perf: 0.8089
[38, 100] Train Error: 0.0084 | Train Perf: 0.8568 | Eval Error: 0.011 | Eval Perf: 0.8122
[39, 100] Train Error: 0.0084 | Train Perf: 0.8574 | Eval Error: 0.0112 | Eval Perf: 0.8085
[40, 100] Train Error: 0.0084 | Train Perf: 0.8582 | Eval Error: 0.0116 | Eval Perf: 0.8093
[41, 100] Train Error: 0.0083 | Train Perf: 0.8597 | Eval Error: 0.0113 | Eval Perf: 0.8027
[42, 100] Train Error: 0.0083 | Train Perf: 0.8591 | Eval Error: 0.0113 | Eval Perf: 0.8062
[43, 100] Train Error: 0.0083 | Train Perf: 0.8595 | Eval Error: 0.011 | Eval Perf: 0.8096
[44, 100] Train Error: 0.0082 | Train Perf: 0.8615 | Eval Error: 0.011 | Eval Perf: 0.8104
[45, 100] Train Error: 0.0083 | Train Perf: 0.8597 | Eval Error: 0.0109 | Eval Perf: 0.8114
[46, 100] Train Error: 0.0083 | Train Perf: 0.8594 | Eval Error: 0.0112 | Eval Perf: 0.8061
[47, 100] Train Error: 0.0081 | Train Perf: 0.8623 | Eval Error: 0.0121 | Eval Perf: 0.8011
[48, 100] Train Error: 0.0082 | Train Perf: 0.8602 | Eval Error: 0.0111 | Eval Perf: 0.8092
[49, 100] Train Error: 0.0082 | Train Perf: 0.8609 | Eval Error: 0.0114 | Eval Perf: 0.8021
[50, 100] Train Error: 0.0082 | Train Perf: 0.8616 | Eval Error: 0.0112 | Eval Perf: 0.8084
[51, 100] Train Error: 0.0081 | Train Perf: 0.8629 | Eval Error: 0.0113 | Eval Perf: 0.8064
[52, 100] Train Error: 0.008 | Train Perf: 0.864 | Eval Error: 0.0109 | Eval Perf: 0.8129
[53, 100] Train Error: 0.0081 | Train Perf: 0.8635 | Eval Error: 0.011 | Eval Perf: 0.8141
[54, 100] Train Error: 0.0081 | Train Perf: 0.8636 | Eval Error: 0.0117 | Eval Perf: 0.8086
[55, 100] Train Error: 0.008 | Train Perf: 0.8645 | Eval Error: 0.0114 | Eval Perf: 0.8064
[56, 100] Train Error: 0.008 | Train Perf: 0.8644 | Eval Error: 0.0111 | Eval Perf: 0.8079
[57, 100] Train Error: 0.008 | Train Perf: 0.8642 | Eval Error: 0.011 | Eval Perf: 0.8109
[58, 100] Train Error: 0.0079 | Train Perf: 0.8658 | Eval Error: 0.0113 | Eval Perf: 0.8056
[59, 100] Train Error: 0.008 | Train Perf: 0.8647 | Eval Error: 0.0111 | Eval Perf: 0.8124
