NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[1, 100] Train Error: 0.0294 | Train Perf: -0.0929 | Eval Error: 0.027 | Eval Perf: 0.3467
[2, 100] Train Error: 0.0264 | Train Perf: 0.1769 | Eval Error: 0.0265 | Eval Perf: 0.4387
[3, 100] Train Error: 0.0248 | Train Perf: 0.3798 | Eval Error: 0.0251 | Eval Perf: 0.4665
[4, 100] Train Error: 0.0215 | Train Perf: 0.6256 | Eval Error: 0.0232 | Eval Perf: 0.4846
[5, 100] Train Error: 0.0165 | Train Perf: 0.7322 | Eval Error: 0.0216 | Eval Perf: 0.4901
[6, 100] Train Error: 0.0117 | Train Perf: 0.8177 | Eval Error: 0.0236 | Eval Perf: 0.4955
[7, 100] Train Error: 0.0095 | Train Perf: 0.8371 | Eval Error: 0.0211 | Eval Perf: 0.4964
[8, 100] Train Error: 0.0072 | Train Perf: 0.8745 | Eval Error: 0.0222 | Eval Perf: 0.4932
[9, 100] Train Error: 0.0058 | Train Perf: 0.9007 | Eval Error: 0.0218 | Eval Perf: 0.4835
[10, 100] Train Error: 0.005 | Train Perf: 0.9115 | Eval Error: 0.0223 | Eval Perf: 0.4798
[11, 100] Train Error: 0.0043 | Train Perf: 0.926 | Eval Error: 0.0229 | Eval Perf: 0.4725
[12, 100] Train Error: 0.0036 | Train Perf: 0.9378 | Eval Error: 0.0232 | Eval Perf: 0.4696
[13, 100] Train Error: 0.0033 | Train Perf: 0.9443 | Eval Error: 0.0231 | Eval Perf: 0.475
[14, 100] Train Error: 0.0031 | Train Perf: 0.9467 | Eval Error: 0.0237 | Eval Perf: 0.4665
[15, 100] Train Error: 0.0027 | Train Perf: 0.9551 | Eval Error: 0.0236 | Eval Perf: 0.4661
[16, 100] Train Error: 0.0026 | Train Perf: 0.9558 | Eval Error: 0.0239 | Eval Perf: 0.4637
[17, 100] Train Error: 0.0023 | Train Perf: 0.9615 | Eval Error: 0.024 | Eval Perf: 0.4626
[18, 100] Train Error: 0.0023 | Train Perf: 0.9614 | Eval Error: 0.024 | Eval Perf: 0.4619
[19, 100] Train Error: 0.0021 | Train Perf: 0.9643 | Eval Error: 0.024 | Eval Perf: 0.4637
[20, 100] Train Error: 0.002 | Train Perf: 0.9657 | Eval Error: 0.0241 | Eval Perf: 0.463
[21, 100] Train Error: 0.0019 | Train Perf: 0.9685 | Eval Error: 0.024 | Eval Perf: 0.4658
[22, 100] Train Error: 0.0018 | Train Perf: 0.969 | Eval Error: 0.0242 | Eval Perf: 0.4645
[23, 100] Train Error: 0.0018 | Train Perf: 0.9697 | Eval Error: 0.0241 | Eval Perf: 0.466
[24, 100] Train Error: 0.0017 | Train Perf: 0.971 | Eval Error: 0.0242 | Eval Perf: 0.4636
[25, 100] Train Error: 0.0016 | Train Perf: 0.9719 | Eval Error: 0.0242 | Eval Perf: 0.4635
[26, 100] Train Error: 0.0016 | Train Perf: 0.9727 | Eval Error: 0.0243 | Eval Perf: 0.4628
[27, 100] Train Error: 0.0015 | Train Perf: 0.9738 | Eval Error: 0.0243 | Eval Perf: 0.4635
[28, 100] Train Error: 0.0015 | Train Perf: 0.974 | Eval Error: 0.0243 | Eval Perf: 0.4624
[29, 100] Train Error: 0.0015 | Train Perf: 0.9747 | Eval Error: 0.0244 | Eval Perf: 0.4615
[30, 100] Train Error: 0.0014 | Train Perf: 0.9754 | Eval Error: 0.0244 | Eval Perf: 0.4615
[31, 100] Train Error: 0.0014 | Train Perf: 0.9761 | Eval Error: 0.0245 | Eval Perf: 0.4591
[32, 100] Train Error: 0.0013 | Train Perf: 0.9767 | Eval Error: 0.0245 | Eval Perf: 0.4603
[33, 100] Train Error: 0.0013 | Train Perf: 0.9778 | Eval Error: 0.0244 | Eval Perf: 0.4605
[34, 100] Train Error: 0.0012 | Train Perf: 0.9784 | Eval Error: 0.0244 | Eval Perf: 0.4589
