ALLELE	MODEL	ETA	NHIDDEN	ENCODING	PCC	MSE
A0101	ANN	0.1	2	bl	0.84996	0.00778004
A0101	ANN	0.1	2	sp	0.82090	0.00920404
A0101	ANN	0.1	3	bl	0.85107	0.00774129
A0101	ANN	0.1	3	sp	0.81573	0.00949011
A0101	ANN	0.1	5	bl	0.84632	0.00796066
A0101	ANN	0.1	5	sp	0.79680	0.0104974
A0101	ANN	0.5	2	bl	0.85772	0.00746353
A0101	ANN	0.5	2	sp	0.83296	0.0087155
A0101	ANN	0.5	3	bl	0.85584	0.00752819
A0101	ANN	0.5	3	sp	0.83646	0.00862243
A0101	ANN	0.5	5	bl	0.85712	0.00747869
A0101	ANN	0.5	5	sp	0.83212	0.00885708
A0101	ANN	1	2	bl	0.85914	0.00733901
A0101	ANN	1	2	sp	0.83277	0.00868689
A0101	ANN	1	3	bl	0.85859	0.00739771
A0101	ANN	1	3	sp	0.83794	0.00859401
A0101	ANN	1	5	bl	0.85464	0.0076289
A0101	ANN	1	5	sp	0.83286	0.00879383
A2403	ANN	0.1	2	bl	0.76601	0.0228181
A2403	ANN	0.1	2	sp	0.64794	0.032128
A2403	ANN	0.1	3	bl	0.76347	0.0230492
A2403	ANN	0.1	3	sp	0.63894	0.0326302
A2403	ANN	0.1	5	bl	0.75551	0.0236346
A2403	ANN	0.1	5	sp	0.64223	0.0323777
A2403	ANN	0.5	2	bl	0.78587	0.0210035
A2403	ANN	0.5	2	sp	0.64640	0.0318063
A2403	ANN	0.5	3	bl	0.78232	0.0212114
A2403	ANN	0.5	3	sp	0.63875	0.0325381
A2403	ANN	0.5	5	bl	0.77642	0.0217372
A2403	ANN	0.5	5	sp	0.64218	0.03222
A2403	ANN	1	2	bl	0.77392	0.0219123
A2403	ANN	1	2	sp	0.65722	0.0310562
A2403	ANN	1	3	bl	0.79127	0.0205644
A2403	ANN	1	3	sp	0.64540	0.0320611
A2403	ANN	1	5	bl	0.78186	0.0214176
A2403	ANN	1	5	sp	0.64411	0.0321128
A0301	ANN	0.1	2	bl	0.81377	0.0215052
A0301	ANN	0.1	2	sp	0.81174	0.0219527
A0301	ANN	0.1	3	bl	0.81376	0.0216927
A0301	ANN	0.1	3	sp	0.81058	0.0221868
A0301	ANN	0.1	5	bl	0.81147	0.0217978
A0301	ANN	0.1	5	sp	0.81452	0.0218701
A0301	ANN	0.5	2	bl	0.80946	0.0220175
A0301	ANN	0.5	2	sp	0.81206	0.0218562
A0301	ANN	0.5	3	bl	0.80586	0.02249
A0301	ANN	0.5	3	sp	0.81141	0.0219868
A0301	ANN	0.5	5	bl	0.80404	0.0225788
A0301	ANN	0.5	5	sp	0.81307	0.0219779
A0301	ANN	1	2	bl	0.79724	0.0231991
A0301	ANN	1	2	sp	0.81071	0.021967
A0301	ANN	1	3	bl	0.80185	0.0228102
A0301	ANN	1	3	sp	0.81030	0.0221329
A0301	ANN	1	5	bl	0.80092	0.0229438
