NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0148 | Train Perf: -0.0127 | Eval Error: 0.0051 | Eval Perf: -0.1014
[2, 100] Train Error: 0.0046 | Train Perf: 0.0133 | Eval Error: 0.0046 | Eval Perf: -0.0731
[3, 100] Train Error: 0.0045 | Train Perf: 0.061 | Eval Error: 0.0046 | Eval Perf: -0.046
[4, 100] Train Error: 0.0044 | Train Perf: 0.0943 | Eval Error: 0.0046 | Eval Perf: -0.0193
[5, 100] Train Error: 0.0044 | Train Perf: 0.1116 | Eval Error: 0.0046 | Eval Perf: 0.0067
[6, 100] Train Error: 0.0044 | Train Perf: 0.1413 | Eval Error: 0.0045 | Eval Perf: 0.0324
[7, 100] Train Error: 0.0044 | Train Perf: 0.1683 | Eval Error: 0.0045 | Eval Perf: 0.0573
[8, 100] Train Error: 0.0044 | Train Perf: 0.2029 | Eval Error: 0.0045 | Eval Perf: 0.0817
[9, 100] Train Error: 0.0044 | Train Perf: 0.231 | Eval Error: 0.0045 | Eval Perf: 0.1051
[10, 100] Train Error: 0.0043 | Train Perf: 0.2583 | Eval Error: 0.0045 | Eval Perf: 0.1275
[11, 100] Train Error: 0.0043 | Train Perf: 0.2828 | Eval Error: 0.0045 | Eval Perf: 0.149
[12, 100] Train Error: 0.0043 | Train Perf: 0.3067 | Eval Error: 0.0045 | Eval Perf: 0.1695
[13, 100] Train Error: 0.0043 | Train Perf: 0.3241 | Eval Error: 0.0045 | Eval Perf: 0.1889
[14, 100] Train Error: 0.0043 | Train Perf: 0.3485 | Eval Error: 0.0045 | Eval Perf: 0.2073
[15, 100] Train Error: 0.0043 | Train Perf: 0.365 | Eval Error: 0.0045 | Eval Perf: 0.2247
[16, 100] Train Error: 0.0043 | Train Perf: 0.3892 | Eval Error: 0.0044 | Eval Perf: 0.2411
[17, 100] Train Error: 0.0042 | Train Perf: 0.4034 | Eval Error: 0.0044 | Eval Perf: 0.2565
[18, 100] Train Error: 0.0042 | Train Perf: 0.4166 | Eval Error: 0.0044 | Eval Perf: 0.271
[19, 100] Train Error: 0.0042 | Train Perf: 0.4345 | Eval Error: 0.0044 | Eval Perf: 0.2845
[20, 100] Train Error: 0.0042 | Train Perf: 0.449 | Eval Error: 0.0044 | Eval Perf: 0.2973
[21, 100] Train Error: 0.0042 | Train Perf: 0.4596 | Eval Error: 0.0044 | Eval Perf: 0.3093
[22, 100] Train Error: 0.0042 | Train Perf: 0.4742 | Eval Error: 0.0044 | Eval Perf: 0.3205
[23, 100] Train Error: 0.0041 | Train Perf: 0.4848 | Eval Error: 0.0044 | Eval Perf: 0.331
[24, 100] Train Error: 0.0041 | Train Perf: 0.4915 | Eval Error: 0.0043 | Eval Perf: 0.3409
[25, 100] Train Error: 0.0041 | Train Perf: 0.5003 | Eval Error: 0.0043 | Eval Perf: 0.3502
[26, 100] Train Error: 0.0041 | Train Perf: 0.5098 | Eval Error: 0.0043 | Eval Perf: 0.3589
[27, 100] Train Error: 0.0041 | Train Perf: 0.5221 | Eval Error: 0.0043 | Eval Perf: 0.3671
[28, 100] Train Error: 0.004 | Train Perf: 0.5277 | Eval Error: 0.0043 | Eval Perf: 0.3748
[29, 100] Train Error: 0.004 | Train Perf: 0.5376 | Eval Error: 0.0043 | Eval Perf: 0.3821
[30, 100] Train Error: 0.004 | Train Perf: 0.5448 | Eval Error: 0.0043 | Eval Perf: 0.389
[31, 100] Train Error: 0.004 | Train Perf: 0.5512 | Eval Error: 0.0042 | Eval Perf: 0.3953
[32, 100] Train Error: 0.004 | Train Perf: 0.5589 | Eval Error: 0.0042 | Eval Perf: 0.4014
[33, 100] Train Error: 0.0039 | Train Perf: 0.5656 | Eval Error: 0.0042 | Eval Perf: 0.4071
[34, 100] Train Error: 0.0039 | Train Perf: 0.5706 | Eval Error: 0.0042 | Eval Perf: 0.4126
[35, 100] Train Error: 0.0039 | Train Perf: 0.5756 | Eval Error: 0.0042 | Eval Perf: 0.4177
[36, 100] Train Error: 0.0039 | Train Perf: 0.5812 | Eval Error: 0.0041 | Eval Perf: 0.4226
[37, 100] Train Error: 0.0038 | Train Perf: 0.5847 | Eval Error: 0.0041 | Eval Perf: 0.4273
[38, 100] Train Error: 0.0038 | Train Perf: 0.5904 | Eval Error: 0.0041 | Eval Perf: 0.4317
[39, 100] Train Error: 0.0038 | Train Perf: 0.5918 | Eval Error: 0.0041 | Eval Perf: 0.4359
[40, 100] Train Error: 0.0037 | Train Perf: 0.5979 | Eval Error: 0.0041 | Eval Perf: 0.4399
[41, 100] Train Error: 0.0037 | Train Perf: 0.6004 | Eval Error: 0.0041 | Eval Perf: 0.4437
[42, 100] Train Error: 0.0037 | Train Perf: 0.6016 | Eval Error: 0.004 | Eval Perf: 0.4475
[43, 100] Train Error: 0.0037 | Train Perf: 0.6094 | Eval Error: 0.004 | Eval Perf: 0.4508
[44, 100] Train Error: 0.0036 | Train Perf: 0.6127 | Eval Error: 0.004 | Eval Perf: 0.4541
[45, 100] Train Error: 0.0036 | Train Perf: 0.6202 | Eval Error: 0.004 | Eval Perf: 0.4571
[46, 100] Train Error: 0.0036 | Train Perf: 0.6193 | Eval Error: 0.0039 | Eval Perf: 0.4603
[47, 100] Train Error: 0.0035 | Train Perf: 0.6231 | Eval Error: 0.0039 | Eval Perf: 0.4632
[48, 100] Train Error: 0.0035 | Train Perf: 0.6257 | Eval Error: 0.0039 | Eval Perf: 0.466
[49, 100] Train Error: 0.0035 | Train Perf: 0.6317 | Eval Error: 0.0039 | Eval Perf: 0.4685
[50, 100] Train Error: 0.0034 | Train Perf: 0.6324 | Eval Error: 0.0039 | Eval Perf: 0.4713
[51, 100] Train Error: 0.0034 | Train Perf: 0.6389 | Eval Error: 0.0038 | Eval Perf: 0.4736
[52, 100] Train Error: 0.0034 | Train Perf: 0.6387 | Eval Error: 0.0038 | Eval Perf: 0.4761
[53, 100] Train Error: 0.0033 | Train Perf: 0.6424 | Eval Error: 0.0038 | Eval Perf: 0.4783
[54, 100] Train Error: 0.0033 | Train Perf: 0.6437 | Eval Error: 0.0038 | Eval Perf: 0.4807
[55, 100] Train Error: 0.0032 | Train Perf: 0.6476 | Eval Error: 0.0038 | Eval Perf: 0.4827
[56, 100] Train Error: 0.0032 | Train Perf: 0.6479 | Eval Error: 0.0037 | Eval Perf: 0.485
