NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[1, 100] Train Error: 0.0105 | Train Perf: -0.0578 | Eval Error: 0.0047 | Eval Perf: 0.089
[2, 100] Train Error: 0.0045 | Train Perf: -0.0023 | Eval Error: 0.0045 | Eval Perf: 0.1218
[3, 100] Train Error: 0.0045 | Train Perf: -0.0106 | Eval Error: 0.0045 | Eval Perf: 0.1543
[4, 100] Train Error: 0.0045 | Train Perf: 0.0241 | Eval Error: 0.0045 | Eval Perf: 0.1857
[5, 100] Train Error: 0.0044 | Train Perf: 0.0637 | Eval Error: 0.0045 | Eval Perf: 0.2158
[6, 100] Train Error: 0.0044 | Train Perf: 0.1061 | Eval Error: 0.0045 | Eval Perf: 0.2442
[7, 100] Train Error: 0.0044 | Train Perf: 0.1365 | Eval Error: 0.0045 | Eval Perf: 0.2708
[8, 100] Train Error: 0.0044 | Train Perf: 0.1779 | Eval Error: 0.0044 | Eval Perf: 0.2954
[9, 100] Train Error: 0.0044 | Train Perf: 0.2114 | Eval Error: 0.0044 | Eval Perf: 0.3181
[10, 100] Train Error: 0.0044 | Train Perf: 0.2442 | Eval Error: 0.0044 | Eval Perf: 0.3388
[11, 100] Train Error: 0.0043 | Train Perf: 0.2811 | Eval Error: 0.0044 | Eval Perf: 0.3577
[12, 100] Train Error: 0.0043 | Train Perf: 0.3141 | Eval Error: 0.0044 | Eval Perf: 0.3748
[13, 100] Train Error: 0.0043 | Train Perf: 0.3347 | Eval Error: 0.0044 | Eval Perf: 0.3902
[14, 100] Train Error: 0.0043 | Train Perf: 0.3577 | Eval Error: 0.0044 | Eval Perf: 0.4042
[15, 100] Train Error: 0.0043 | Train Perf: 0.3751 | Eval Error: 0.0044 | Eval Perf: 0.4168
[16, 100] Train Error: 0.0043 | Train Perf: 0.4024 | Eval Error: 0.0043 | Eval Perf: 0.4281
[17, 100] Train Error: 0.0042 | Train Perf: 0.4272 | Eval Error: 0.0043 | Eval Perf: 0.4382
[18, 100] Train Error: 0.0042 | Train Perf: 0.4416 | Eval Error: 0.0043 | Eval Perf: 0.4473
[19, 100] Train Error: 0.0042 | Train Perf: 0.4625 | Eval Error: 0.0043 | Eval Perf: 0.4555
[20, 100] Train Error: 0.0042 | Train Perf: 0.4764 | Eval Error: 0.0043 | Eval Perf: 0.4629
[21, 100] Train Error: 0.0042 | Train Perf: 0.4869 | Eval Error: 0.0043 | Eval Perf: 0.4695
[22, 100] Train Error: 0.0042 | Train Perf: 0.4865 | Eval Error: 0.0043 | Eval Perf: 0.4755
[23, 100] Train Error: 0.0041 | Train Perf: 0.5114 | Eval Error: 0.0042 | Eval Perf: 0.4809
[24, 100] Train Error: 0.0041 | Train Perf: 0.5231 | Eval Error: 0.0042 | Eval Perf: 0.4858
