ALLELE	MODEL	BETA	SEQWEIGHT	PCC	MSE
A0101	PSSM	0	0	0.28990	1.60603e+06
A0101	PSSM	50	0	0.61545	71.3526
A0101	PSSM	100	0	0.61907	50.0393
A0101	PSSM	200	0	0.61908	37.5198
A0101	PSSM	0	1	0.28936	1.60457e+06
A0101	PSSM	50	1	0.61523	32.4767
A0101	PSSM	100	1	0.61269	27.147
A0101	PSSM	200	1	0.60969	24.1718
A2403	PSSM	0	0	0.27877	1.05816e+07
A2403	PSSM	50	0	0.47599	41.5394
A2403	PSSM	100	0	0.49003	29.4782
A2403	PSSM	200	0	0.49871	23.6629
A2403	PSSM	0	1	0.27863	1.0579e+07
A2403	PSSM	50	1	0.48121	26.9644
A2403	PSSM	100	1	0.49011	21.9283
A2403	PSSM	200	1	0.49491	19.4483
A0301	PSSM	0	0	0.34066	311583
A0301	PSSM	50	0	0.64458	77.5543
A0301	PSSM	100	0	0.65165	60.6735
A0301	PSSM	200	0	0.65759	46.3889
A0301	PSSM	0	1	0.33870	310833
A0301	PSSM	50	1	0.66706	19.7859
A0301	PSSM	100	1	0.66641	15.8529
A0301	PSSM	200	1	0.66437	13.5112
B4001	PSSM	0	0	0.11408	6.82534e+06
B4001	PSSM	50	0	0.25113	37.5174
B4001	PSSM	100	0	0.26233	25.3944
B4001	PSSM	200	0	0.26986	19.4397
B4001	PSSM	0	1	0.11417	6.82403e+06
B4001	PSSM	50	1	0.29550	19.9226
B4001	PSSM	100	1	0.30180	15.8505
B4001	PSSM	200	1	0.30483	13.8307
B5701	PSSM	0	0	-0.27228	2492.39
B5701	PSSM	50	0	-0.20423	944.011
B5701	PSSM	100	0	-0.19685	830.927
B5701	PSSM	200	0	-0.19166	765.419
B5701	PSSM	0	1	-0.14858	1548.32
B5701	PSSM	50	1	-0.06146	430.898
B5701	PSSM	100	1	-0.05469	403.929
B5701	PSSM	200	1	-0.05086	389.772
A3001	PSSM	0	0	0.31044	2.59904e+06
A3001	PSSM	50	0	0.59576	45.3504
A3001	PSSM	100	0	0.60634	28.7922
A3001	PSSM	200	0	0.61103	19.9568
A3001	PSSM	0	1	0.31023	2.59783e+06
A3001	PSSM	50	1	0.60721	18.2444
A3001	PSSM	100	1	0.60755	14.0855
A3001	PSSM	200	1	0.60562	11.9262
B0801	PSSM	0	0	0.33617	2.17178e+07
B0801	PSSM	50	0	0.41479	46.5924
B0801	PSSM	100	0	0.41424	32.7377
B0801	PSSM	200	0	0.41248	26.5531
B0801	PSSM	0	1	0.33618	2.17171e+07
B0801	PSSM	50	1	0.42065	32.3983
B0801	PSSM	100	1	0.41951	26.3074
B0801	PSSM	200	1	0.41823	23.4602
A2402	PSSM	0	0	0.39743	758129
A2402	PSSM	50	0	0.53899	83.9139
A2402	PSSM	100	0	0.54372	71.7175
A2402	PSSM	200	0	0.54804	60.9344
A2402	PSSM	0	1	0.39679	757673
A2402	PSSM	50	1	0.54416	55.7156
A2402	PSSM	100	1	0.54821	48.7433
A2402	PSSM	200	1	0.55006	44.4496
B4403	PSSM	0	0	0.13695	3.96091e+06
B4403	PSSM	50	0	-0.02122	1389
B4403	PSSM	100	0	-0.02565	1166.48
B4403	PSSM	200	0	-0.02848	1000.79
B4403	PSSM	0	1	0.13831	3.96518e+06
B4403	PSSM	50	1	0.04976	628.991
B4403	PSSM	100	1	0.04878	555.935
B4403	PSSM	200	1	0.04814	514.804
B4501	PSSM	0	0	0.23828	2988.73
B4501	PSSM	50	0	0.26431	1857.31
B4501	PSSM	100	0	0.26411	1584.43
B4501	PSSM	200	0	0.26398	1351.45
B4501	PSSM	0	1	0.27405	2304.07
B4501	PSSM	50	1	0.30013	886.299
B4501	PSSM	100	1	0.30065	785.797
B4501	PSSM	200	1	0.30090	728.296
A6901	PSSM	0	0	0.28301	1.31948e+06
A6901	PSSM	50	0	0.42076	34.7462
