ALLELE	MODEL	WEIGHTALGO	LAMBDA	PCC	MSE
A0101	SMM	GD	0	0.53277	0.0212301
A0101	SMM	GD	0.02	0.53305	0.0212142
A0101	SMM	GD	0.1	0.53382	0.021168
A0101	SMM	GD	1	0.53949	0.0208173
A0101	SMM	MC	0	0.52846	0.028379
A0101	SMM	MC	0.02	0.54335	0.0273656
A0101	SMM	MC	0.1	0.54152	0.028184
A0101	SMM	MC	1	0.55230	0.0259554
A0101	SMM	GD	5	0.55093	0.0204642
A0101	SMM	GD	10	0.55659	0.0207396
A0101	SMM	GD	50	0.52741	0.0250352
A0101	SMM	MC	5	0.58874	0.0217962
A0101	SMM	MC	10	0.59179	0.0214718
A0101	SMM	MC	50	0.60554	0.0229933
A2403	SMM	GD	0	0.36632	0.0971572
A2403	SMM	GD	0.02	0.37538	0.0917636
A2403	SMM	GD	0.1	0.40383	0.0772748
A2403	SMM	GD	1	0.49041	0.0488317
A2403	SMM	MC	0	-0.00007	1.03507
A2403	SMM	MC	0.02	-0.01346	1.01937
A2403	SMM	MC	0.1	0.12726	0.512002
A2403	SMM	MC	1	0.27201	0.138349
A2403	SMM	GD	5	0.52953	0.039783
A2403	SMM	GD	10	0.52520	0.0399047
A2403	SMM	GD	50	0.41360	0.0517905
A2403	SMM	MC	5	0.36188	0.0678256
A2403	SMM	MC	10	0.35153	0.0636448
A2403	SMM	MC	50	0.37077	0.0787016
A0301	SMM	GD	0	0.66741	0.0372509
A0301	SMM	GD	0.02	0.66747	0.0372367
A0301	SMM	GD	0.1	0.66769	0.0371808
A0301	SMM	GD	1	0.66867	0.0368012
A0301	SMM	MC	0	0.69812	0.0343376
A0301	SMM	MC	0.02	0.70335	0.0339095
A0301	SMM	MC	0.1	0.69722	0.0346911
A0301	SMM	MC	1	0.70174	0.0339657
A0301	SMM	GD	5	0.66949	0.0360522
A0301	SMM	GD	10	0.66871	0.0358119
A0301	SMM	GD	50	0.64903	0.038768
A0301	SMM	MC	5	0.70878	0.0326335
A0301	SMM	MC	10	0.71066	0.0326288
A0301	SMM	MC	50	0.69278	0.0378179
B4001	SMM	GD	0	0.45435	0.0117672
B4001	SMM	GD	0.02	0.45443	0.0117589
B4001	SMM	GD	0.1	0.45563	0.011705
B4001	SMM	GD	1	0.46247	0.0113479
B4001	SMM	MC	0	0.31681	0.0220836
B4001	SMM	MC	0.02	0.32437	0.0239841
B4001	SMM	MC	0.1	0.31789	0.0257061
B4001	SMM	MC	1	0.32994	0.0211068
B4001	SMM	GD	5	0.46643	0.0109483
B4001	SMM	GD	10	0.45677	0.0110992
B4001	SMM	GD	50	0.31709	0.0134951
B4001	SMM	MC	5	0.33858	0.01807
B4001	SMM	MC	10	0.36233	0.0163164
B4001	SMM	MC	50	0.30702	0.0178446
B5701	SMM	GD	0	0.39836	0.0432538
B5701	SMM	GD	0.02	0.44495	0.0386136
B5701	SMM	GD	0.1	0.56489	0.0294987
B5701	SMM	GD	1	0.64096	0.0321714
B5701	SMM	MC	0	-0.18942	1458.65
B5701	SMM	MC	0.02	-0.16565	90.5987
B5701	SMM	MC	0.1	0.13852	0.881274
B5701	SMM	MC	1	0.31607	0.0729107
B5701	SMM	GD	5	0.58219	0.0444162
B5701	SMM	GD	10	0.52652	0.0506138
B5701	SMM	GD	50	0.38643	0.0668385
B5701	SMM	MC	5	0.46600	0.0365586
B5701	SMM	MC	10	0.17489	0.0463402
B5701	SMM	MC	50	-0.16669	0.0638642
A3001	SMM	GD	0	0.62961	0.0308127
A3001	SMM	GD	0.02	0.63086	0.0306585
A3001	SMM	GD	0.1	0.63312	0.0303037
A3001	SMM	GD	1	0.64490	0.0282792
A3001	SMM	MC	0	0.52410	0.0544786
A3001	SMM	MC	0.02	0.54893	0.0515841
A3001	SMM	MC	0.1	0.50622	0.0564377
A3001	SMM	MC	1	0.56511	0.0436256
A3001	SMM	GD	5	0.63472	0.0276262
A3001	SMM	GD	10	0.62748	0.027456
A3001	SMM	GD	50	0.53392	0.0321211
A3001	SMM	MC	5	0.59796	0.0358539
A3001	SMM	MC	10	0.62766	0.0326975
A3001	SMM	MC	50	0.59698	0.0451815
B0801	SMM	GD	0	0.31840	0.0102542
B0801	SMM	GD	0.02	0.31927	0.0102132
B0801	SMM	GD	0.1	0.32287	0.0100546
B0801	SMM	GD	1	0.34705	0.0090681
B0801	SMM	MC	0	0.14874	0.0451394
B0801	SMM	MC	0.02	0.14908	0.0345642
B0801	SMM	MC	0.1	0.19391	0.0313682
B0801	SMM	MC	1	0.18506	0.0272815
B0801	SMM	GD	5	0.37223	0.00802475
B0801	SMM	GD	10	0.36754	0.00790436
B0801	SMM	GD	50	0.25058	0.00922918
B0801	SMM	MC	5	0.21846	0.0170208
B0801	SMM	MC	10	0.19363	0.0168976
B0801	SMM	MC	50	0.13977	0.0183134
A2402	SMM	GD	0	0.55475	0.0833621
A2402	SMM	GD	0.02	0.56079	0.0787429
A2402	SMM	GD	0.1	0.57657	0.0672279
A2402	SMM	GD	1	0.59876	0.0493795
A2402	SMM	MC	0	0.14294	2.5761
A2402	SMM	MC	0.02	0.12833	2.04427
A2402	SMM	MC	0.1	0.10057	1.08464
A2402	SMM	MC	1	0.28738	0.14893
A2402	SMM	GD	5	0.60049	0.0482927
